Année,Prénom,Nombre,Sexe,Ordre
2012,Livio,5,M,502
2012,Grégoire,5,M,508
2012,Nolann,5,M,520
2012,Gustave,5,M,527
2012,Marcel,5,M,531
2012,Ava,5,F,545
2012,Dina,5,F,549
2012,Amalia,5,F,555
2012,Alizée,5,F,556
2012,Safa,5,F,560
2012,Hannah,5,F,562
2012,Alana,5,F,564
2012,Eléonore,5,F,574
2012,Ludivine,5,F,575
2012,Paloma,5,F,577
2012,Audrey,5,F,578
2011,Nathan,97,M,7
2011,Léo,92,M,12
2011,Raphaël,92,M,14
2011,Paul,83,M,17
2011,Thomas,70,M,23
2011,Lina,70,F,24
2011,Théo,67,M,26
2011,Anaïs,57,F,41
2011,Léna,54,F,45
2011,Sacha,52,M,47
2011,Mohamed,50,M,50
2011,Gabin,44,M,58
2011,Timéo,43,M,61
2011,Lily,42,F,63
2011,Rayan,40,M,67
2011,Evan,40,M,68
2011,Julia,37,F,73
2011,Julie,34,F,81
2011,Margaux,32,F,84
2011,Noémie,31,F,86
2011,Lorenzo,31,M,87
2011,Oscar,29,M,92
2011,Mathys,29,M,94
2011,Liam,29,M,96
2011,Lana,28,F,100
2011,Océane,27,F,105
2011,Victoria,26,F,110
2011,Titouan,25,M,111
2011,Louna,23,F,124
2011,Léon,21,M,132
2011,Florian,19,M,147
2011,Héloïse,18,F,154
2011,Mélissa,18,F,157
2011,Lilian,18,M,161
2011,Manel,16,F,184
2011,Clarisse,15,F,191
2011,Cloé,15,F,194
2011,Younes,15,M,195
2011,Morgan,15,M,200
2011,Marwan,14,M,202
2011,Amandine,14,F,209
2011,Lilia,14,F,210
2011,Corentin,13,M,225
2011,Ilyès,13,M,227
2011,Amina,12,F,238
2011,Soan,12,M,239
2011,Aurélien,12,M,241
2011,Marwa,11,F,261
2011,Tiago,11,M,263
2011,Bilal,10,M,264
2011,Loane,10,F,269
2011,Guillaume,10,M,275
2011,Armand,10,M,281
2011,Aubin,10,M,282
2011,Anis,10,M,285
2011,Basile,10,M,286
2011,Isaure,10,F,292
2011,Zélie,9,F,298
2011,Noélie,9,F,300
2011,Nael,9,M,303
2011,Lou-Anne,9,F,313
2011,Eden,9,F,316
2011,Amel,8,F,325
2011,Walid,8,M,328
2011,Wassim,8,M,334
2011,Maïwenn,8,F,350
2011,Lylou,8,F,351
2011,Éléa,7,F,356
2011,Amélie,7,F,360
2011,Youcef,7,M,367
2011,Yohan,7,M,371
2011,Tilio,7,M,373
2011,Hamza,7,M,376
2011,Nils,7,M,384
2011,Leyna,7,F,392
2011,Albane,7,F,394
2011,Imane,7,F,395
2011,Sophie,6,F,411
2011,Kyllian,6,M,413
2011,Loïc,6,M,415
2011,Matys,6,M,416
2011,Soren,6,M,421
2011,Loïs,6,M,426
2011,Sofiane,6,M,429
2010,Maylis,8,F,356
2010,Coline,8,F,358
2010,Tao,7,M,378
2010,Tim,7,M,385
2010,Léandre,7,M,387
2010,Ryan,7,M,389
2010,Noélie,7,F,396
2010,Salma,7,F,417
2010,Reda,6,M,418
2010,Edgar,6,M,421
2010,Camil,6,M,430
2010,Johann,6,M,436
2010,Sam,6,M,438
2010,Zacharie,6,M,441
2010,Leny,6,M,447
2010,Jean-Baptiste,6,M,450
2010,Adem,6,M,454
2010,Johan,6,M,458
2010,Aurore,6,F,465
2010,Sophia,6,F,467
2010,Mélodie,6,F,468
2010,Myriam,6,F,479
2010,Eve,6,F,482
2010,Rémy,5,M,495
2010,Mateo,5,M,502
2010,Lohan,5,M,503
2010,Rafaël,5,M,512
2010,Louca,5,M,513
2010,Nolann,5,M,516
2010,Lou,5,M,518
2010,Lya,5,F,523
2010,Soukaïna,5,F,531
2010,Laurine,5,F,539
2010,Lucy,5,F,540
2010,Maria,5,F,543
2010,Hanaé,5,F,545
2010,Brune,5,F,553
2010,Elora,5,F,556
2010,Lylou,5,F,561
2010,Angèle,5,F,563
2009,Paul,99,M,5
2009,Jade,93,F,8
2009,Chloé,88,F,13
2009,Clément,88,M,14
2009,Thomas,73,M,24
2009,Tom,69,M,25
2009,Léo,69,M,27
2009,Théo,61,M,37
2009,Alexandre,53,M,47
2009,Ambre,42,F,67
2009,Anna,40,F,68
2009,Pierre,34,M,80
2009,Simon,33,M,82
2009,Julie,31,F,91
2009,Mathys,29,M,101
2009,Timéo,25,M,105
2009,Elsa,24,F,109
2009,Eloïse,24,F,110
2009,Amine,24,M,111
2009,Amandine,21,F,121
2009,Damien,20,M,130
2009,Julien,20,M,133
2009,Rose,20,F,136
2009,Jean,19,M,139
2009,Maëlle,19,F,141
2009,Lila,19,F,142
2009,Mila,19,F,143
2009,Fanny,18,F,144
2009,Matéo,18,M,147
2009,Louka,18,M,148
2009,Sara,17,F,156
2009,Héloïse,16,F,160
2009,Rémi,16,M,166
2009,Matthieu,15,M,173
2009,Charline,15,F,176
2009,Chiara,15,F,180
2009,Marius,15,M,182
2009,Clarisse,14,F,183
2009,Nino,14,M,192
2009,Younes,13,M,203
2009,Amélie,12,F,224
2009,Angel,12,M,227
2009,Yann,12,M,228
2009,Nassim,12,M,229
2009,Nour,11,F,230
2009,Maïlys,11,F,231
2009,Imane,11,F,233
2009,Ryan,11,M,237
2009,Jérémy,11,M,251
2009,Lilia,11,F,256
2009,Timothé,10,M,259
2009,Tony,10,M,267
2009,Amir,10,M,271
2009,Jasmine,10,F,278
2009,Lyna,10,F,279
2009,Maïa,10,F,285
2009,Morgan,9,M,289
2009,Assia,9,F,296
2009,Nahel,9,M,301
2009,Joseph,9,M,303
2012,Adam,89,M,11
2012,Ethan,88,M,12
2012,Arthur,81,M,18
2012,Lola,75,F,22
2012,Jade,67,F,28
2012,Baptiste,65,M,32
2012,Gabin,60,M,36
2012,Léa,59,F,37
2012,Alexandre,51,M,47
2012,Axel,50,M,48
2012,Anaïs,49,F,52
2012,Lou,47,F,54
2012,Martin,46,M,55
2012,Clara,43,F,61
2012,Timéo,41,M,62
2012,Lorenzo,40,M,66
2012,Lisa,35,F,78
2012,Mathys,35,M,79
2012,Mathéo,34,M,80
2012,Alexis,34,M,81
2012,Rose,33,F,83
2012,Mélissa,33,F,86
2012,Lily,31,F,89
2012,Laura,28,F,102
2012,Noé,25,M,115
2012,Emilie,24,F,118
2012,Océane,23,F,124
2012,Dorian,22,M,126
2012,Gabrielle,21,F,129
2012,Nassim,20,M,133
2012,Imran,20,M,134
2012,Sofiane,19,M,139
2012,Naël,18,M,152
2012,Tristan,18,M,155
2012,Milo,18,M,156
2012,Faustine,16,F,171
2012,Tessa,16,F,173
2012,Diane,16,F,182
2012,Armand,15,M,188
2012,Youssef,15,M,198
2012,Charlie,15,F,200
2012,Marion,14,F,202
2012,Enora,14,F,206
2012,Ilan,14,M,214
2012,Zakaria,14,M,216
2012,Vincent,13,M,224
2012,Nicolas,13,M,225
2012,Léane,13,F,226
2012,Bastien,13,M,230
2012,Mael,12,M,233
2012,Anaé,12,F,243
2012,Charline,12,F,246
2012,Noélie,12,F,250
2012,Joseph,11,M,256
2012,Sami,11,M,261
2012,Mia,11,F,264
2012,Elya,11,F,265
2012,Ilona,11,F,268
2012,Kenza,10,F,285
2012,Aymeric,10,M,292
2012,Ana,9,F,301
2012,Anissa,9,F,309
2012,David,9,M,316
2012,Thibaut,9,M,321
2012,Ema,8,F,333
2012,Lyna,8,F,348
2012,Axelle,8,F,351
2012,Lison,8,F,359
2012,Milan,8,M,364
2012,Gaël,8,M,365
2012,Elliot,8,M,372
2012,Rémi,8,M,373
2012,Neïla,7,F,401
2012,Laly,7,F,402
2012,Alexia,7,F,408
2012,Cassandre,7,F,413
2012,Kim,7,F,414
2012,Luce,7,F,415
2012,Erin,7,F,416
2012,Elie,6,M,422
2012,Abdel,6,M,424
2012,Octave,6,M,427
2012,Iban,6,M,429
2012,Jonathan,6,M,430
2012,Omar,6,M,435
2012,Ilyas,6,M,439
2012,Ilyès,6,M,442
2012,Walid,6,M,447
